adresse,lat,lon
"Rue De La Laïta, 44400 Rezé, France",47.15184,-1.5657
"1 Rue De La Chapelle, 44340 Bouguenais, France",47.16928,-1.6003
"44340 & Bouguenais Les Couets Fr, 44400 Rezé, France",47.17184,-1.599
"5 Imp. Des Tournesols, 44340 Bouguenais, France",47.16704,-1.5989
"82 Rue Jean Jaurès, 44400 Rezé, France",47.14752,-1.5693
"60 Rue De La Paix, 44340 Bouguenais, France",47.1664,-1.5986
"Pl. Canclaux, 44000 Nantes, France",47.222,-1.5542
"8 Rue De Gorges, 44000 Nantes, France",47.21568,-1.5563
"4 Rue Babonneau, 44100 Nantes, France",47.19848,-1.5846
"5 Rue Jean-Baptiste Chauvelon, 44400 Rezé, France",47.15248,-1.5744
"2 Pl. Jean V, 44000 Nantes, France",47.22016,-1.5523
"21 Bd De La Liberté, 44100 Nantes, France",47.20056,-1.5797
"17 Pass. Leroy, 44000 Nantes, France",47.21896,-1.5526
"105 Rue De La Basse Île, 44400 Rezé, France",47.14936,-1.5714
"60 Bd Meusnier De Querlon, 44000 Nantes, France",47.2204,-1.5503
"33 Rue Garibaldi, 44100 Nantes, France",47.1964,-1.5813
"4 Rue Jean Jacques Rousseau, 44000 Nantes, France",47.22216,-1.551
"2 Prom. Europa, 44200 Nantes, France",47.24936,-1.5333
"3 Bd De L'Égalité, 44100 Nantes, France",47.19824,-1.5763
"All. De L'Atelier, 44200 Nantes, France",47.24976,-1.5254
"2 Rue Du Stade, 44220 Couëron, France",47.21862,-1.721
"54 Bis Rue De L'Islette, 44220 Couëron, France",47.21862,-1.7129
"69 Bd De La Libération, 44220 Couëron, France",47.21894,-1.7164
"12Bis Rue Pierre Blard, 44800 Saint-Herblain, France",47.25104,-1.6025
"3 Bd De La Libération, 44220 Couëron, France",47.21822,-1.718
"6 All. De La Bourgonnière, 44800 Saint-Herblain, France",47.24944,-1.5958
"1 Rue Pierre Blard, 44800 Saint-Herblain, France",47.24952,-1.5967
"29 Rue Pierre Blard, 44800 Saint-Herblain, France",47.25016,-1.6019
"14 Rue De L'Hôtel De Ville, 44800 Saint-Herblain, France",47.25016,-1.5963
"2 Rue Jean Jaurès, 44220 Couëron, France",47.21278,-1.7208
"2 All. Du Capitaine Grant, 44880 Sautron, France",47.39776,-1.5644
"10 Pl. De L'Abbé Cherel, 44800 Saint-Herblain, France",47.252,-1.599
"3 Rue Des Turquoises, 44800 Saint-Herblain, France",47.25144,-1.5955
"8 Rue Du Prieuré, 44640 Saint-Jean-De-Boiseau, France",47.29672,-1.8034
"25 Rue Pierre Blard, 44800 Saint-Herblain, France",47.24864,-1.5995
"20 Rue Pierre Blard, 44800 Saint-Herblain, France",47.2508,-1.5989
"4 Bis Rue Victor Hugo, 44400 Rezé, France",47.15112,-1.5684
"12 Rue De La Commune De 1871, 44400 Rezé, France",47.1484,-1.5666
"13 Av. De La 4Ème République, 44400 Rezé, France",47.15056,-1.5739
"62 Rue De La Commune De 1871, 44400 Rezé, France",47.15296,-1.573
"4 Rue Copernic, 44000 Nantes, France",47.2196,-1.55
"73 Rue Aristide Briand, 44400 Rezé, France",47.14904,-1.5657
"1 Rue Eugène Pottier, 44400 Rezé, France",47.15304,-1.5721
"16 Rue Aristide Briand, 44400 Rezé, France",47.14912,-1.5712
"2 Rue Léon Bérard, 44200 Nantes, France",47.25088,-1.5259
"120 Rue Aristide Briand, 44400 Rezé, France",47.14736,-1.5683
"2 Rue Des Glycines, 44400 Rezé, France",47.15232,-1.5723
"14 Pl. Pierre Semard, 44400 Rezé, France",47.14792,-1.5681
"21 Rue Des Poiriers, 44260 Malville, France",47.37816,-1.917
"Estuaire Immobilier, 10 Pl. De La Liberté, 44260 Malville, France",47.37808,-1.9222
"3 Rue Des Musiciens, 44260 Malville, France",47.3764,-1.9188
"8 Rue Des Epinettes, 44260 Malville, France",47.38032,-1.9194
"10 Les Jardins De L'Hippodrome, 44260 Savenay, France",47.3828,-1.9164
"7 Rue De Malacquet, 44130 Fay-De-Bretagne, France",47.1768,-1.4821
"17 Rue Kléber, 44260 Savenay, France",47.376,-1.9228
"9 Pl. De L'Église, 44360 Cordemais, France",47.09992,-1.7965
"14 Pl. De L'Église, 44750 Campbon, France",47.35328,-1.7549
"Face Aux Halles, 15 Aristide Briand, 44260 Savenay, France",47.3824,-1.9197
"3 Pl. Des Halles, 44260 Savenay, France",47.3784,-1.9159
"6 Pl. De L Hôtel De Ville, 44260 Savenay, France",47.37768,-1.9176
"10 Rue Du Cap Robert Martin, 44320 Frossay, France",47.14816,-1.6951
"52 Rue Anne De Bretagne, 44360 Vigneux-De-Bretagne, France",47.10128,-1.8023
"14 Bis Rte De La Marquellerais, 44360 Saint-Étienne-De-Montluc, France",47.09952,-1.7981
"25 Av. De Champagne, 44360 Saint-Étienne-De-Montluc, France",47.1004,-1.8023
"46 Rue Du Petit Prince, 44360 Vigneux-De-Bretagne, France",47.09848,-1.7955
"19 Rue Du Professeur Jean Bernard, 44220 Couëron, France",47.21334,-1.7151
"28 Ter Rue De La Pommeraye, 44220 Couëron, France",47.2151,-1.7178
"4 Rue Jean Jaurès, 44220 Couëron, France",47.21614,-1.721
"35 Rue De La Blanchardière, 44220 Couëron, France",47.21862,-1.7169
"12 Pl. Aristide Briand, 44220 Couëron, France",47.2139,-1.7208
"44640 Le Pellerin, France",47.29952,-1.8034
"2 Rue Du Plessis, 44830 Brains, France",47.39816,-1.5959
"45 Rue Aristide Bertreux, 44640 Le Pellerin, France",47.3016,-1.805
"7 Av. Du Pin, 44800 Saint-Herblain, France",47.246,-1.603
"Av. Jacques Cartier, 44800 Saint-Herblain, France",47.24752,-1.6036
"39 Rue D'Aquitaine, 44800 Saint-Herblain, France",47.25392,-1.5964
"17 Rue Océane, 44800 Saint-Herblain, France",47.24696,-1.6044
"71 Av. Des Cordeliers, 17000 La Rochelle, France",45.74816,-0.6283
